,player_id,name,fifa_index,name_compare
324,60602,yohann thuram,11122,yohann georges thuram ulien
325,38415,johannes flum,11131,johannes flum
326,31218,johannes van den bergh,6468,johannes van den bergh
327,156618,maxime colin,2585,maxime colin
328,202838,max reinthaler,12523,maximilian reinthaler
329,66660,matias suarez,525,matias ezequiel suarez
330,17689,sascha molders,6469,sascha molders
331,217718,timo konigsmann,10211,timo konigsmann
332,235371,fynn arkenberg,13688,fynn arkenberg
333,193050,valmir sulejmani,7883,valmir sulejmani
334,176514,rafal wolski,9979,rafal wolski
335,238474,ljuban crepulja,8075,ljuban crepulja
336,77708,geoffroy serey die,5545,sereso geoffroy gonzaroua die
337,119581,marvin wanitzek,5038,marvin wanitzek
338,62800,adam hlousek,8707,adam hlousek
339,138292,boris tashchy,8893,borys tashchy
340,199301,filip starzynski,6663,filip starzynski
341,157927,sebastian stolze,5953,sebastian stolze
342,58379,maximilian beister,8783,maximilian beister
343,87650,julian maurice derstroff,8877,julian maurice derstroff
344,63833,jiloan hamad,7557,jiloan mohamed hamad
345,209686,ahmet arslan,9201,ahmet metin arslan
346,55519,christoph moritz,6531,christoph moritz
347,184133,russell canouse,3642,russell canouse
348,122011,markus henriksen,2516,markus henriksen
349,218140,george honeyman,4138,george honeyman
350,108878,adam matthews,8790,adam james matthews
351,459873,harvey rodgers,12576,harvey james rodgers
352,307781,lynden gooch,7903,lynden jack gooch
353,61711,callum mcmanaman,9882,callum henry mcmanaman
354,248045,duncan watmore,6780,duncan watmore
355,31720,sebastian larsson,3108,sebastian bengt ulf larsson
356,179451,donald love,12440,donald love
357,364828,elliot embleton,12682,elliot john embleton
358,255703,harry cornick,5809,harry cornick
359,13465,tom huddlestone,6407,tom huddlestone
360,118535,will keane,441,michael keane
361,456111,will mannion,17027,william john mannion
362,9500,david marshall,5472,david marshall
363,31886,dusan kuciak,5528,dusan kuciak
364,163738,moses odubajo,5640,moses odubajo
365,509268,daniel batty,9305,daniel thomas batty
366,158700,tendayi darikwa,8824,tendayi david darikwa
367,367195,dan agyei,15265,daniel ebenezer kwasi agyei
368,85928,danny lafferty,14428,daniel patrick lafferty
369,128828,tom anderson,10037,thomas robert anderson
370,33507,lukas jutkiewicz,5497,lukas jutkiewicz
371,24634,david jones,11073,david frank llwyd jones
372,39471,brad guzan,5485,bradley guzan
373,78966,daniel ayala,4711,daniel sanchez ayala
374,73067,adam clayton,9862,adam clayton
375,163530,adam reach,4025,adam michael reach
376,314140,dael fry,2859,dael fry
377,77544,george friend,5540,george friend
378,18227,curtis davies,4615,curtis davies
379,83430,albert adomah,5534,albert danquah adomah
380,48950,jordan rhodes,5523,jordan rhodes
381,167393,james husband,8890,james husband
382,163531,connor ripley,13466,connor ripley
383,124873,florian jozefzoon,7638,florian marc jozefzoon
384,203938,branco van den boomen,4270,branco van den boomen
385,259721,daniel de silva,7805,daniel de silva
386,182910,hervin ongenda,4878,hervin scicchitano ongenda
387,16660,alex baptiste,9811,alexander aaron john baptiste
388,120192,stefan savic,8895,stefan savic
389,84162,marcel ritzmaier,3944,marcel ritzmaier
390,330699,raphael obermair,11639,raphael sanchez obermair
391,157160,frank acheampong,973,frank opoku acheampong
392,263557,marcelo meli,5795,cesar marcelo meli
393,214770,borja lopez,4858,borja lopez menendez
394,204040,alexandru vlad,11318,alexandru nicolae vlad
395,229007,lyes houri,6825,lyes hafid houri
396,81959,lukas droppa,8883,lukas droppa
397,233782,aissa laidouni,5138,aissa bilal laidouni
398,235755,georgi zhukov,10055,georgiy zhukov
399,170966,jeremie bela,3364,jeremie bela
400,231916,anthony belmonte,10048,anthony belmonte
401,98262,quentin bernard,4068,quentin bernard
402,51035,johny placide,8700,johny placide
403,242716,enzo basilio,5753,enzo basilio
404,388795,oumar gonzalez,11489,oumar gonzalez
405,39924,anthony robic,7513,antony robic
406,374040,vincent marchetti,7995,vincent marchetti
407,109720,joffrey cuffaut,4745,joffrey cuffaut
408,110622,jonathan mensah,3240,jonathan mensah
409,229970,tom lawrence,4087,tom lawrence
410,341993,elliott moore,9289,elliott jordan moore
411,263951,hamza sakhi,4142,hamza sakhi
412,252689,carlos strandberg,3415,sergio carlos strandberg
413,93732,chris mavinga,4701,chris mavinga
414,213035,amadou moutari,5819,tidani amadou moutari kalala
415,356569,olufela olomola,16022,olufela oladele olomola
416,57423,florin gardos,8872,florin gardos
417,226965,lloyd isgrove,9971,lloyd jeffrey isgrove
418,244125,hiram boateng,12428,hiram kojo kwarteng boateng
419,314341,chris willock,5016,chris anthony willock
420,340310,marc bola,5014,marc bola
421,228370,gedion zelalem,12462,gedion zelalem
422,183301,luke mcgee,13601,luke paul mcgee
423,345739,shayon harrison,15258,shayon adam harrison
424,396284,zak dearnley,14591,zachary harry dearnley
425,289844,josh harrop,8975,josh harrop
426,42401,artur jedrzejczyk,4633,artur jedrzejczyk
427,387313,samuel shashoua,6089,samuel shashoua
428,63606,odil akhmedov,2478,odil akhmedov
429,157907,doneil henry,4762,doneil jor dee ashley henry
430,242652,lewis page,12535,lewis robert page
431,42411,fraizer campbell,7498,fraizer campbell
432,121223,kwesi appiah,13441,kwesi appiah
433,268185,joe williams,4990,joe williams
434,499604,dion pereira,10617,dion pereira
435,307763,anton walkes,8068,anton walkes
436,279454,mj williams,10218,michael jordan williams
437,85314,oscar,210,oscar dos santos emboaba junior
438,375881,ismael diallo,9202,ismael chester diallo
439,69001,giedrius arlauskis,3932,giedrius arlauskis
440,21333,aiden mcgeady,4604,aiden john mcgeady
441,74615,abdelhamid el kaoutari,8742,abdelhamid el kaoutari
442,149239,thomas vincensini,11251,thomas vincensini
443,200782,kevin stewart,7719,kevin linford stewart
444,72484,manu barreiro,6488,manuel barreiro bustelo
445,278992,cristian espinoza,2222,cristian omar espinoza
446,374081,aitor bunuel,5045,aitor bunuel redrado
447,224774,cristian salvador,6099,cristian salvador gonzalez
448,45256,jean sylvain babin,1496,jean sylvain claude babin
449,59349,diego marino,1590,diego marino villar
450,238717,pablo perez,7912,pablo perez rodriguez
451,65301,xavi torres,4637,xavier torres buigues
452,57785,roberto canella,9847,roberto canella suarez
453,140126,fernando aristeguieta,3374,fernando luis aristeguieta de luca
454,182898,younes kaabouni,11347,younes kaabouni
455,290940,raphael diarra,15275,raphael diarra
456,292822,aldo kalulu,9176,aldo nsawila kalulu kyatengwa
457,353395,jordy gaspar,8164,jordy gaspar
458,66052,ermir lenjani,5617,ermir lenjani
459,229003,sega coulibaly,9205,sega coulibaly
460,278553,dimitri cavare,9024,dimitri kevin cavare
461,289196,julien da costa,9211,julien da costa
462,172333,bill tuiloma,6821,bill tuiloma
463,318521,tristan muyumba,11590,tristan muyumba nkita
464,98334,romain alessandrini,1518,romain alessandrini
465,353404,gaetan perrin,8071,gaetan perrin
466,112022,maxime barthelme,3936,maxime barthelme
467,341942,erwin koffi,10252,erwin koffi
468,358512,ibrahima conte,10452,ibrahima sory conte
469,139337,tiago rodrigues,4090,tiago filipe sousa nobrega rodrigues
470,197157,gerso,4827,gerso fernandes
471,170994,yrondu musavu king,11255,yroundu musavu king
472,355469,gleison moreira,7047,gleison wilson da silva moreira
473,371686,carlens arcus,5042,carlens jean fedlaire ruby arcus
474,390823,eric curbelo,5198,eric curbelo de la fe
475,70767,roman zozulya,10021,roman zozulya
476,133089,felipe gutierrez,3285,felipe alejandro gutierrez leiva
477,230222,alvaro lemos,3308,alvaro lemos collazo
478,83895,marcelo diaz,1164,marcelo alfonso diaz rojas
479,44227,ivan kelava,6644,ivan kelava
480,225819,oscar benitez,6748,oscar benitez
481,271438,tomas martinez,5754,tomas martinez
482,355624,luis munoz,4399,jose luis munoz leon
483,282434,jean carlos silva,8151,jean carlos silva rocha
484,200558,petros,1006,petros matheus dos santos araujo
485,96540,alfredo ortuno,7585,alfredo ortuno martinez
486,216131,bruno mendes,5745,bruno pereira mendes
487,268958,juan munoz,5887,juan munoz munoz
488,61715,jordan mustoe,15963,jordan david mustoe
489,165008,pablo iniguez,6642,pablo iniguez de heredia larraz
490,373353,pablo larrea,7070,pablo guido larrea gambara
491,37579,alexandre pato,1507,alexandre rodrigues da silva
492,60445,jonathan dos santos,870,jonathan dos santos ramirez
493,56066,enzo perez,414,enzo nicolas perez
494,42913,lasse nielsen,6449,lasse nielsen
495,212849,ivan calero,7932,ivan calero ruiz
496,168063,filip mladenovic,2771,filip mladenovic
497,229853,birama toure,4831,birama toure
