journee,game_id,club_id,number,name,field_pos
22,515691,43,21,B. André,left:calc( 62.294565217391% - 4px);top:68.992173913043%;z-index:30;
22,515691,43,7,J. Bamba,left:calc( 12.5% - 4px);top:66.404347826087%;z-index:32;
22,515691,43,18,R. Sanches,left:calc( 36.172826086957% - 4px);top:68.992173913043%;z-index:30;
22,515691,43,17,B. Yilmaz,left:calc( 22.295652173913% - 4px);top:53.465217391304%;z-index:45;
22,515691,43,22,T. Weah,left:calc( 87.6% - 4px);top:66.404347826087%;z-index:32;
22,515691,43,9,J. David,left:calc( 77.804347826087% - 4px);top:53.465217391304%;z-index:45;
22,515689,374,30,D. Petkovic,left:calc( 49.95% - 4px);top:1%;z-index:97;
22,515689,374,8,I. Traoré,left:calc( 49.95% - 4px);top:11.385806451613%;z-index:87;
22,515689,374,29,V. Manceau,left:calc( 22.121739130435% - 4px);top:11.385806451613%;z-index:87;
22,515689,374,2,B. Mendy,left:calc( 77.778260869565% - 4px);top:11.385806451613%;z-index:87;
22,515689,374,5,T. Mangani,left:calc( 77.778260869565% - 4px);top:25.15%;z-index:73;
22,515689,374,11,J. Cabot,left:calc( 12.3% - 4px);top:19.727741935484%;z-index:79;
22,515689,374,23,N. Bentaleb,left:calc( 49.95% - 4px);top:22.647419354839%;z-index:76;
22,515689,374,10,A. Fulgini,left:calc( 22.121739130435% - 4px);top:25.15%;z-index:73;
22,515689,374,27,M. Pereira Lage,left:calc( 87.6% - 4px);top:19.727741935484%;z-index:79;
22,515689,374,14,B. Brahimi,left:calc( 22.121739130435% - 4px);top:37.662903225806%;z-index:61;
22,515689,374,9,C. Ninga,left:calc( 77.778260869565% - 4px);top:37.662903225806%;z-index:61;
22,515689,30,30,G. Gallon,left:calc( 50.05% - 4px);top:91.851304347826%;z-index:7;
22,515689,30,19,O. El-Hajjam,left:calc( 12.5% - 4px);top:80.637391304348%;z-index:18;
22,515689,30,17,Y. Salmier,left:calc( 36.172826086957% - 4px);top:80.637391304348%;z-index:18;
22,515689,30,2,E. Palmer-Brown,left:calc( 62.294565217391% - 4px);top:80.637391304348%;z-index:18;
22,515689,30,4,G. Biancone,left:calc( 87.6% - 4px);top:80.637391304348%;z-index:18;
22,515689,30,12,A. Conté,left:calc( 12.5% - 4px);top:66.404347826087%;z-index:32;
22,515689,30,24,X. Chavalerin,left:calc( 50.05% - 4px);top:59.50347826087%;z-index:39;
22,515689,30,10,F. Tardieu,left:calc( 62.294565217391% - 4px);top:68.992173913043%;z-index:30;
22,515692,242,40,O. Djoco,left:calc( 49.95% - 4px);top:1%;z-index:97;
22,515696,17,1,J. Omlin,left:calc( 49.95% - 4px);top:1%;z-index:97;
22,515689,30,11,G. Rodrigues,left:calc( 50.05% - 4px);top:51.308695652174%;z-index:47;
22,515689,30,14,D. Chambost,left:calc( 36.172826086957% - 4px);top:68.992173913043%;z-index:30;
22,515689,30,27,B. Domingues,left:calc( 87.6% - 4px);top:66.404347826087%;z-index:32;
22,515692,242,12,V. Nsimba,left:calc( 87.6% - 4px);top:11.385806451613%;z-index:87;
22,515692,242,4,C. Hountondji,left:calc( 36.035869565217% - 4px);top:11.385806451613%;z-index:87;
22,515692,242,20,A. Zedadka,left:calc( 12.3% - 4px);top:11.385806451613%;z-index:87;
22,515692,242,36,A. Seidu,left:calc( 62.227173913043% - 4px);top:11.385806451613%;z-index:87;
22,515692,242,25,J. Gastien,left:calc( 22.121739130435% - 4px);top:19.727741935484%;z-index:79;
22,515692,242,19,S. Abdul Samed,left:calc( 77.778260869565% - 4px);top:19.727741935484%;z-index:79;
22,515692,242,8,J. Berthomier,left:calc( 49.95% - 4px);top:25.15%;z-index:73;
22,515692,242,26,P. Hamel,left:calc( 49.95% - 4px);top:39.748387096774%;z-index:59;
22,515692,242,18,E. Rashani,left:calc( 12.3% - 4px);top:31.823548387097%;z-index:67;
22,515692,242,10,L. Da Cunha,left:calc( 87.6% - 4px);top:31.823548387097%;z-index:67;
22,515692,14,40,D. Alemdar,left:calc( 50.05% - 4px);top:91.851304347826%;z-index:7;
22,515692,14,4,L. Badé,left:calc( 62.294565217391% - 4px);top:80.637391304348%;z-index:18;
22,515692,14,3,A. Truffert,left:calc( 12.5% - 4px);top:80.637391304348%;z-index:18;
22,515692,14,23,W. Omari,left:calc( 36.172826086957% - 4px);top:80.637391304348%;z-index:18;
22,515692,14,22,L. Assignon,left:calc( 87.6% - 4px);top:80.637391304348%;z-index:18;
22,515692,14,28,J. Martin,left:calc( 62.294565217391% - 4px);top:68.992173913043%;z-index:30;
22,515692,14,14,B. Bourigeaud,left:calc( 12.5% - 4px);top:66.404347826087%;z-index:32;
22,515692,14,8,B. Santamaria,left:calc( 36.172826086957% - 4px);top:68.992173913043%;z-index:30;
22,515696,17,3,M. Sakho,left:calc( 62.227173913043% - 4px);top:11.385806451613%;z-index:87;
22,515696,17,2,A. Souquet,left:calc( 12.3% - 4px);top:11.385806451613%;z-index:87;
22,515696,17,7,M. Ristic,left:calc( 87.6% - 4px);top:11.385806451613%;z-index:87;
22,515696,17,31,N. Cozza,left:calc( 36.035869565217% - 4px);top:11.385806451613%;z-index:87;
22,515696,17,12,J. Ferri,left:calc( 62.227173913043% - 4px);top:22.647419354839%;z-index:76;
22,515696,17,25,F. Mollet,left:calc( 12.3% - 4px);top:31.823548387097%;z-index:67;
22,515696,17,13,J. Chotard,left:calc( 36.035869565217% - 4px);top:22.647419354839%;z-index:76;
22,515696,17,21,S. Wahi,left:calc( 77.778260869565% - 4px);top:37.662903225806%;z-index:61;
22,515696,17,9,V. Germain,left:calc( 22.121739130435% - 4px);top:37.662903225806%;z-index:61;
22,515696,17,10,S. Mavididi,left:calc( 87.6% - 4px);top:31.823548387097%;z-index:67;
22,515696,25,16,A. Nübel,left:calc( 50.05% - 4px);top:91.851304347826%;z-index:7;
22,515696,25,26,R. Aguilar,left:calc( 87.6% - 4px);top:80.637391304348%;z-index:18;
22,515696,25,6,A. Disasi,left:calc( 62.294565217391% - 4px);top:80.637391304348%;z-index:18;
22,515696,25,3,G. Maripan,left:calc( 36.172826086957% - 4px);top:80.637391304348%;z-index:18;
22,515696,25,12,Caio Henrique,left:calc( 12.5% - 4px);top:80.637391304348%;z-index:18;
