,player_id,name,fifa_index,name_compare,sofifa_id,which_fifa
163,90118,soufiane bidaoui,8716,soufiane bidaoui,192365,15
164,74821,franco mussis,4668,franco gabriel mussis,216706,15
165,255195,greg houla,8107,greg houla,212539,15
166,127051,yann boe kane,9146,yann boe kane,215786,15
167,52328,gonzalo bergessio,2981,gonzalo ruben bergessio,171975,15
168,84846,gianluca sansone,2170,gianluca sansone,189894,15
169,136746,steve beleck,10491,steve leo beleck abeka,201044,15
170,144451,ali ozturk,13696,ali ozturk,143730,15
171,36689,emir bajrami,3022,emir bajrami,181377,15
172,254063,giannis stamatakis,14755,giannis stamatakis,219560,15
173,38870,gordon schildenfeld,1735,gordon schildenfeld,186902,15
174,332046,tayyib kanarya,14521,tayyib kanarya,224740,15
175,177038,omer can sokullu,8920,omer can sokullu,206105,15
176,54168,rizvan sahin,9501,rizvan sahin,182672,15
177,6860,orhan ak,10182,orhan ak,125328,15
178,238980,andrea palazzi,13667,andrea palazzi,225295,15
179,54149,jonathan,580,jonathan cicero moreira,165816,15
180,8689,sezer ozturk,8461,sezer ozturk,162010,15
181,240197,isaac donkor,15017,isaac opoku donkor,212445,15
182,290415,davide costa,14159,davide costa,225290,15
183,39027,tayfun pekturk,6664,tayfun pekturk,183661,15
184,265916,lucas ontivero,8271,lucas elias ontivero,221884,15
185,49121,erman bulucu,12454,erman bulucu,224744,15
186,56772,gilles binya,9534,gilles augustin binya,186718,15
187,125920,yakup zorlu,15605,yakup ramazan zorlu,223321,15
188,6949,necati ates,1598,necati ates,144163,15
189,27861,senijad ibricic,2571,senijad ibricic,185367,15
190,10504,mehmet akgun,7422,mehmet akgun,157701,15
191,204404,mahmut ozen,11375,mahmut ozen,207820,15
192,45951,ugur demirkol,14935,ugur demirkol,184351,15
193,28318,pape diakhate,2873,pape malikou diakhate,138080,15
194,200393,bilal kilic,13569,bilal kilic,223327,15
195,58919,zulkuf ozer,10136,zulkuf ozer,224737,15
196,21876,federico balzaretti,2384,federico balzaretti,113176,15
197,71002,carlos caballero,5618,carlos caballero perez,145903,15
198,144449,sinan uzun,12455,sinan uzun,224747,15
199,7394,gokhan unal,4043,gokhan unal,143732,15
200,173468,khalifa jabbie,12056,khalifa jabbie,203369,15
201,90936,murat gurbuzerol,13243,murat gurbuzerol,200884,15
202,56837,abdulhamit yildiz,14944,abdulhamit yildiz,198159,15
203,78254,umutcan yuksel,13092,umutcan yuksel,224722,15
204,35631,royston drenthe,2093,royston ricky drenthe,177752,15
205,269469,octavio,9108,octavio merlo manteca,214643,15
206,5896,david pizarro,894,david marcelo pizarro cortes,24248,15
207,238992,giacomo sciacca,13121,giacomo sciacca,225291,15
208,5908,cristiano lupatelli,3952,cristiano lupatelli,12011,15
209,110690,okan alkan,9688,okan alkan,200766,15
210,28862,michael agazzi,915,michael agazzi,123586,15
211,93085,zeki ayvaz,10140,zeki ayvaz,224896,15
212,62725,alessandro de vitis,11287,alessandro de vitis,202603,15
213,233654,francesco fedato,6215,francesco fedato,210670,15
214,51819,ugur akdemir,11718,ugur akdemir,223434,15
215,21245,filip holosko,1674,filip holosko,175673,15
216,36661,tevfik kose,10195,tevfik kose,144173,15
217,83230,bahattin kose,11997,bahattin kose,197957,15
218,26460,fernando belluschi,935,fernando daniel belluschi,143587,15
219,137611,artun akcakin,11780,artun akcakin,224729,15
