,player_id,name,clubs,fifa_index,name_compare,fifa_clubs,sofifa_id
6512,256718,sven van beek,"['feyenoord-rotterdam', 'willem-ii-tilburg', 'sc-heerenveen']",2405,sven van beek,Feyenoord,213000
6513,321135,ibrahim dresevic,['sc-heerenveen'],10706,ibrahim dresevic,SC Heerenveen,235519
6514,248395,pawel bochniewicz,"['udinese-calcio', 'sc-heerenveen']",8210,pawel piotr bochniewicz,Gornik Zabrze,220230
6515,288426,xavier mous,"['pec-zwolle', 'sc-heerenveen']",8266,xavier mous,PEC Zwolle,223738
6516,345586,kasper lunding,"['aarhus-gf', 'heracles-almelo']",15675,kasper lunding jakobsen,Aarhus GF,236783
6517,56631,erwin mulder,"['feyenoord-rotterdam', 'sc-heerenveen']",3384,erwin mulder,Swansea City,183567
6518,45509,siem de jong,"['newcastle-united', 'psv-eindhoven', 'ajax-amsterdam', 'sc-heerenveen']",4147,siem stefan de jong,Ajax,186452
6519,242063,vaclav cerny,"['ajax-amsterdam', 'fc-utrecht', 'fc-twente-enschede']",7191,vaclav cerny,FC Utrecht,216860
6520,324344,dimitrios limnios,"['atromitos-athen', 'paok-thessaloniki', '1-fc-koln', 'fc-twente-enschede']",4008,dimitris limnios,PAOK,240271
6521,342702,michel vlap,"['sc-heerenveen', 'rsc-anderlecht', 'arminia-bielefeld', 'fc-twente-enschede']",2023,michel vlap,RSC Anderlecht,229435
6522,416660,ramiz zerrouki,['fc-twente-enschede'],16496,ramiz larbi zerrouki,FC Twente,252383
6523,30003,wout brama,"['pec-zwolle', 'fc-utrecht', 'fc-twente-enschede']",4865,wout brama,FC Twente,178319
6524,360514,giovanni troupee,"['fc-utrecht', 'ado-den-haag', 'fc-twente-enschede']",8362,giovanni troupee,FC Utrecht,228762
6525,321204,michal sadilek,"['inter-mailand', 'psv-eindhoven', 'fc-twente-enschede']",4750,michal sadilek,PSV,245209
6526,288228,adrian dalmau,"['rcd-mallorca', 'heracles-almelo', 'fc-utrecht']",3904,adrian dalmau vaquer,FC Utrecht,231601
6527,216815,mimoun mahi,"['fc-groningen', 'fc-utrecht']",3818,mimoun mahi,FC Zurich,225114
6528,460655,moussa sylla,"['ea-guingamp', 'as-monaco', 'sm-caen', 'es-troyes-ac', 'fc-utrecht']",9694,moussa sylla,AS Monaco,237708
6529,255474,simon gustafson,"['feyenoord-rotterdam', 'roda-jc-kerkrade', 'fc-utrecht']",3659,simon gustafson,FC Utrecht,213613
6530,326701,bart ramselaar,"['fc-utrecht', 'psv-eindhoven']",3161,bart ramselaar,PSV,227633
6531,20586,urby emanuelson,"['as-rom', 'atalanta-bergamo', 'hellas-verona', 'fc-utrecht']",4098,urby vitorrio diego emanuelson,FC Utrecht,169808
6532,481117,othmane boussaid,"['fc-utrecht', 'nac-breda']",12071,othmane boussaid,FC Utrecht,244602
6533,134631,sinan bakis,"['kayserispor', 'bursaspor', 'heracles-almelo']",10601,sinan bakis,FC Flyeralarm Admira,230623
6534,182582,joris van overeem,"['fc-dordrecht', 'az-alkmaar', 'fc-utrecht']",2380,joris van overeem,FC Utrecht,210010
6535,128042,mark van der maarel,['fc-utrecht'],7919,mark van der maarel,FC Utrecht,198147
6536,258519,hidde ter avest,"['fc-twente-enschede', 'udinese-calcio', 'fc-utrecht']",7339,hidde willem ter avest,Udinese Calcio,226436
6537,536477,arthur zagre,"['fc-paris-saint-germain', 'dijon-fco', 'fc-utrecht']",14005,arthur zagre,Paris Saint-Germain,248604
6538,19409,willem janssen,['fc-utrecht'],2144,willem marco janssen,FC Utrecht,158800
6539,214346,virgil misidan,"['1-fc-nurnberg', 'pec-zwolle', 'fc-twente-enschede']",3562,virgil roy misidan,1. FC Nurnberg,203725
6540,187105,mike van der hoorn,"['ajax-amsterdam', 'swansea-city', 'arminia-bielefeld', 'fc-utrecht']",2963,mike van der hoorn,Swansea City,207725
6541,396077,maarten paes,['fc-utrecht'],10729,maarten paes,FC Utrecht,236571
6542,78818,dario dumic,"['brondby-if', 'nec-nijmegen', 'fc-utrecht', 'fc-twente-enschede']",4971,dario dumic,SV Darmstadt 98,193706
6543,152460,eric oelschlagel,"['borussia-dortmund', 'fc-utrecht']",10627,eric dirk oelschlagel,Borussia Dortmund,232107
6544,251885,julio pleguezuelo,"['fc-arsenal', 'fc-twente-enschede']",7258,julio jose pleguezuelo selva,FC Twente,222576
6545,361207,kik pierie,"['sc-heerenveen', 'fc-twente-enschede']",6447,kik pierie,Ajax,234925
6546,315253,jeffrey de lange,['fc-twente-enschede'],13725,jeffrey de lange,FC Twente,239559
6547,53696,lars unnerstall,"['vvv-venlo', 'psv-eindhoven', 'fc-twente-enschede']",1411,lars unnerstall,PSV,199833
6548,166683,mamadou sylla,"['espanyol-barcelona', 'kas-eupen', 'kaa-gent', 'sv-zulte-waregem', 'vv-st-truiden', 'fk-orenburg', 'deportivo-alaves']",5356,mamadou sylla diallo,KAA Gent,224967
6549,133794,edgar mendez,"['ud-almeria', 'fc-granada', 'deportivo-alaves']",2456,edgar antonio mendez ortega,Cruz Azul,219728
6550,278837,luis rioja,['deportivo-alaves'],5346,luis jesus rioja gonzalez,Deportivo Alaves,224415
6551,341278,ivan martin,"['espanyol-barcelona', 'deportivo-alaves']",13956,ivan martin nunez,Villarreal CF,246928
6552,122421,adam maher,"['psv-eindhoven', 'ankaraspor', 'fc-twente-enschede', 'az-alkmaar', 'fc-utrecht']",1413,adam maher,FC Utrecht,200223
6553,139895,tomas pina,"['fc-villarreal', 'fc-brugge', 'deportivo-alaves']",1081,tomas pina isla,Deportivo Alaves,198368
6554,364237,mamadou loum,"['moreirense-fc', 'fc-porto', 'deportivo-alaves']",2644,mamadou loum ndiaye,FC Porto,245021
6555,483573,martin aguirregabiria,"['fc-girona', 'deportivo-alaves', 'atletico-madrid', 'athletic-bilbao', 'real-sociedad-san-sebastian', 'fc-valencia', 'espanyol-barcelona', 'sd-eibar', 'ud-las-palmas', 'fc-malaga', 'fc-sevilla']",2113,martin aguirregabiria padilla,Deportivo Alaves,241827
