,0
1085,4279
1086,4280
1087,4281
1088,4282
1089,4290
1090,4291
1091,4300
1092,4302
1093,4306
1094,4311
1095,4332
1096,4339
1097,4346
1098,4347
1099,4355
1100,4356
1101,4359
1102,4360
1103,4361
1104,4366
1105,4367
1106,4376
1107,4379
1108,4384
1109,4385
1110,4386
1111,4389
1112,4390
1113,4398
1114,4399
1115,4408
1116,4410
1117,4416
1118,4422
1119,4431
1120,4447
1121,4450
1122,4453
1123,4457
1124,4458
1125,4459
1126,4460
1127,4461
1128,4468
1129,4473
1130,4475
1131,4476
1132,4478
1133,4488
1134,4490
1135,4493
1136,4496
1137,4500
1138,4502
1139,4503
1140,4504
1141,4507
1142,4508
1143,4509
1144,4511
1145,4513
1146,4514
1147,4515
1148,4516
1149,4520
1150,4521
1151,4524
1152,4526
1153,4531
1154,4532
1155,4533
1156,4537
1157,4547
1158,4551
1159,4553
1160,4555
1161,4558
1162,4559
1163,4561
1164,4562
1165,4564
1166,4565
1167,4566
1168,4567
1169,4568
1170,4572
1171,4576
1172,4577
1173,4579
1174,4587
1175,4597
1176,4599
1177,4600
1178,4601
1179,4605
1180,4607
1181,4608
1182,4612
1183,4613
1184,4614
1185,4620
1186,4622
1187,4623
1188,4627
1189,4628
1190,4633
1191,4636
1192,4637
1193,4638
1194,4639
1195,4642
1196,4651
1197,4652
1198,4659
1199,4661
1200,4663
1201,4664
1202,4665
1203,4669
1204,4671
1205,4673
1206,4674
1207,4676
1208,4680
1209,4684
1210,4688
1211,4695
1212,4702
1213,4710
1214,4713
1215,4724
1216,4729
1217,4731
1218,4732
1219,4739
1220,4744
1221,4745
1222,4755
1223,4756
1224,4763
1225,4764
1226,4765
1227,4769
1228,4773
1229,4777
1230,4791
1231,4793
1232,4794
1233,4795
1234,4799
1235,4800
1236,4801
1237,4803
1238,4806
1239,4807
1240,4808
1241,4809
1242,4811
1243,4812
1244,4814
1245,4816
1246,4817
1247,4822
1248,4824
1249,4826
1250,4827
1251,4830
1252,4833
1253,4846
1254,4847
1255,4849
1256,4851
1257,4854
1258,4855
1259,4859
1260,4862
1261,4863
1262,4867
1263,4868
1264,4869
1265,4874
1266,4877
1267,4880
1268,4882
1269,4886
1270,4887
1271,4891
1272,4892
1273,4894
1274,4901
1275,4905
1276,4916
1277,4918
1278,4919
1279,4921
1280,4922
1281,4927
1282,4928
1283,4935
1284,4943
1285,4944
1286,4945
1287,4949
1288,4952
1289,4954
1290,4958
1291,4965
1292,4967
1293,4968
1294,4969
1295,4973
1296,4984
1297,4987
1298,4994
1299,4998
1300,5001
1301,5002
1302,5004
1303,5007
1304,5009
1305,5017
1306,5019
1307,5022
1308,5023
1309,5024
1310,5025
1311,5026
1312,5028
1313,5032
1314,5033
