Date,Time,HomeTeam,AwayTeam,HomeTeam_id,AwayTeam_id,FTHG,FTAG,HY,AY,HR,AR
23/10/2021,20:00,Lille,Brest,43,267,1,1,1,2,0,0
24/10/2021,12:00,Nice,Lyon,46,22,3,2,1,0,0,1
24/10/2021,14:00,Lens,Metz,9,20,4,1,2,3,0,0
24/10/2021,14:00,Lorient,Bordeaux,11,18,1,1,4,2,0,1
24/10/2021,14:00,Reims,Troyes,211,30,1,2,4,2,1,0
24/10/2021,14:00,Rennes,Strasbourg,14,13,1,0,1,2,0,0
24/10/2021,16:00,Monaco,Montpellier,25,17,3,1,1,4,0,0
24/10/2021,19:45,Marseille,Paris SG,6,26,0,0,1,2,0,1
27/10/2021,20:00,Nice,Marseille,46,6,1,1,2,2,0,0
29/10/2021,20:00,Paris SG,Lille,26,43,2,1,1,5,0,0
30/10/2021,16:00,Metz,St Etienne,20,38,1,1,0,3,0,0
30/10/2021,20:00,Lyon,Lens,22,9,2,1,1,2,0,0
31/10/2021,12:00,Angers,Nice,374,46,1,2,1,2,0,0
31/10/2021,14:00,Bordeaux,Reims,18,211,3,2,3,2,0,0
31/10/2021,14:00,Montpellier,Nantes,17,15,2,0,3,5,0,0
31/10/2021,14:00,Strasbourg,Lorient,13,11,4,0,1,0,0,0
31/10/2021,14:00,Troyes,Rennes,30,14,2,2,0,1,0,0
31/10/2021,16:00,Brest,Monaco,267,25,2,0,1,5,0,0
31/10/2021,19:45,Clermont,Marseille,242,6,0,1,1,4,0,0
05/11/2021,20:00,Lens,Troyes,9,30,4,0,1,1,0,0
06/11/2021,16:00,Lille,Angers,43,374,1,1,2,2,1,0
06/11/2021,20:00,Bordeaux,Paris SG,18,26,2,3,2,1,0,0
07/11/2021,12:00,Marseille,Metz,6,20,0,0,1,3,0,1
07/11/2021,14:00,Lorient,Brest,11,267,1,2,1,1,1,0
07/11/2021,14:00,Nantes,Strasbourg,15,13,2,2,2,1,0,1
07/11/2021,14:00,Reims,Monaco,211,25,0,0,0,2,0,0
07/11/2021,14:00,St Etienne,Clermont,38,242,3,2,1,1,0,0
07/11/2021,16:00,Nice,Montpellier,46,17,0,1,2,0,0,0
07/11/2021,19:45,Rennes,Lyon,14,22,4,1,2,2,0,0
19/11/2021,20:00,Monaco,Lille,25,43,2,2,3,5,1,0
20/11/2021,16:00,Paris SG,Nantes,26,15,3,1,1,2,1,0
20/11/2021,20:00,Rennes,Montpellier,14,17,2,0,1,3,0,1
21/11/2021,12:00,Brest,Lens,267,9,4,0,1,2,0,1
21/11/2021,14:00,Angers,Lorient,374,11,1,0,4,0,0,0
21/11/2021,14:00,Metz,Bordeaux,20,18,3,3,2,2,1,0
21/11/2021,14:00,Strasbourg,Reims,13,211,1,1,1,4,0,0
21/11/2021,14:00,Troyes,St Etienne,30,38,0,1,1,4,0,0
21/11/2021,16:00,Clermont,Nice,242,46,1,2,1,4,0,0
26/11/2021,20:00,Lens,Angers,9,374,2,2,2,0,0,0
27/11/2021,16:00,Lille,Nantes,43,15,1,1,1,2,0,1
27/11/2021,20:00,Nice,Metz,46,20,0,1,2,2,0,0
28/11/2021,12:00,St Etienne,Paris SG,38,26,1,3,3,1,1,0
28/11/2021,14:00,Bordeaux,Brest,18,267,1,2,3,1,0,0
28/11/2021,14:00,Lorient,Rennes,11,14,0,2,0,2,0,0
28/11/2021,14:00,Monaco,Strasbourg,25,13,1,1,2,1,0,0
28/11/2021,14:00,Reims,Clermont,211,242,1,0,2,2,0,0
28/11/2021,16:00,Montpellier,Lyon,17,22,0,1,1,4,0,0
28/11/2021,19:45,Marseille,Troyes,6,30,1,0,1,4,0,0
01/12/2021,18:00,Angers,Monaco,374,25,1,3,1,2,0,0
01/12/2021,18:00,Brest,St Etienne,267,38,1,0,2,3,0,0
01/12/2021,18:00,Metz,Montpellier,20,17,1,3,2,2,0,0
01/12/2021,18:00,Strasbourg,Bordeaux,13,18,5,2,2,3,0,0
01/12/2021,18:00,Troyes,Lorient,30,11,2,0,1,1,0,0
01/12/2021,20:00,Clermont,Lens,242,9,2,2,4,5,1,0
01/12/2021,20:00,Lyon,Reims,22,211,1,2,3,2,0,0
01/12/2021,20:00,Nantes,Marseille,15,6,0,1,3,2,1,0
01/12/2021,20:00,Paris SG,Nice,26,46,0,0,2,2,0,0
01/12/2021,20:00,Rennes,Lille,14,43,1,2,2,1,0,0
04/12/2021,16:00,Marseille,Brest,6,267,1,2,1,2,0,0
04/12/2021,18:00,Lille,Troyes,43,30,2,1,3,4,0,0
04/12/2021,20:00,Lens,Paris SG,9,26,1,1,2,2,0,0
05/12/2021,12:00,St Etienne,Rennes,38,14,0,5,1,0,0,0
05/12/2021,14:00,Lorient,Nantes,11,15,0,1,1,3,0,0
05/12/2021,14:00,Monaco,Metz,25,20,4,0,1,2,0,0
05/12/2021,14:00,Montpellier,Clermont,17,242,1,0,3,3,0,1
05/12/2021,14:00,Reims,Angers,211,374,1,2,4,3,1,0
05/12/2021,16:00,Nice,Strasbourg,46,13,0,3,3,3,0,0
05/12/2021,19:45,Bordeaux,Lyon,18,22,2,2,0,0,0,0
10/12/2021,20:00,Nantes,Lens,15,9,3,2,3,3,0,0
11/12/2021,16:00,Brest,Montpellier,267,17,0,4,2,1,0,0
11/12/2021,20:00,Reims,St Etienne,211,38,2,0,2,2,0,1
12/12/2021,12:00,Lille,Lyon,43,22,0,0,2,6,0,0
12/12/2021,14:00,Angers,Clermont,374,242,0,1,1,2,0,0
12/12/2021,14:00,Metz,Lorient,20,11,4,1,2,2,0,0
12/12/2021,14:00,Rennes,Nice,14,46,1,2,1,4,0,0
12/12/2021,14:00,Troyes,Bordeaux,30,18,1,2,3,3,0,0
12/12/2021,16:00,Strasbourg,Marseille,13,6,0,2,2,1,0,0
12/12/2021,19:45,Paris SG,Monaco,26,25,2,0,3,4,0,0
22/12/2021,20:00,Bordeaux,Lille,18,43,2,3,1,3,0,0
22/12/2021,20:00,Lorient,Paris SG,11,26,1,1,1,3,0,1
22/12/2021,20:00,Lyon,Metz,22,20,1,1,2,3,0,0
22/12/2021,20:00,Marseille,Reims,6,211,1,1,4,4,1,1
22/12/2021,20:00,Monaco,Rennes,25,14,2,1,2,1,0,0
22/12/2021,20:00,Montpellier,Angers,17,374,4,1,1,1,0,0
22/12/2021,20:00,Nice,Lens,46,9,2,1,0,2,0,0
22/12/2021,20:00,St Etienne,Nantes,38,15,0,1,1,1,0,0
22/12/2021,20:00,Troyes,Brest,30,267,1,1,4,1,1,0
07/01/2022,20:00,Bordeaux,Marseille,18,6,0,1,1,1,0,0
08/01/2022,20:00,Lens,Rennes,9,14,1,0,1,1,0,0
09/01/2022,12:00,Brest,Nice,267,46,0,3,0,3,0,1
09/01/2022,14:00,Clermont,Reims,242,211,0,0,1,3,1,0
09/01/2022,14:00,Metz,Strasbourg,20,13,0,2,1,1,0,0
09/01/2022,16:05,Nantes,Monaco,15,25,0,0,1,2,0,0
09/01/2022,19:45,Lyon,Paris SG,22,26,1,1,2,2,0,0
14/01/2022,20:00,Nice,Nantes,46,15,2,1,2,1,0,0
15/01/2022,16:00,St Etienne,Lens,38,9,1,2,1,1,0,0
15/01/2022,20:00,Paris SG,Brest,26,267,2,0,5,3,0,0
16/01/2022,12:00,Rennes,Bordeaux,14,18,6,0,1,5,0,1
16/01/2022,14:00,Lorient,Angers,11,374,0,0,3,1,0,1
16/01/2022,14:00,Monaco,Clermont,25,242,4,0,0,1,0,0
16/01/2022,14:00,Reims,Metz,211,20,0,1,4,4,0,0
16/01/2022,14:00,Strasbourg,Montpellier,13,17,3,1,2,2,0,1
16/01/2022,16:05,Troyes,Lyon,30,22,0,1,2,1,0,0
16/01/2022,19:45,Marseille,Lille,6,43,1,1,1,5,0,1
19/01/2022,18:00,Clermont,Strasbourg,242,13,0,2,2,0,0,0
19/01/2022,18:00,Lille,Lorient,43,11,3,1,0,0,0,0
19/01/2022,18:00,Montpellier,Troyes,17,30,0,1,5,1,1,0
21/01/2022,20:00,Lyon,St Etienne,22,38,1,0,1,4,0,0
22/01/2022,16:00,Brest,Lille,267,43,2,0,2,3,0,0
22/01/2022,20:00,Lens,Marseille,9,6,0,2,3,2,0,0
23/01/2022,12:00,Metz,Nice,20,46,0,2,3,1,0,0
23/01/2022,14:00,Angers,Troyes,374,30,2,1,1,3,0,0
23/01/2022,14:00,Bordeaux,Strasbourg,18,13,4,3,5,2,0,0
23/01/2022,14:00,Clermont,Rennes,242,14,2,1,2,3,0,0
23/01/2022,14:00,Nantes,Lorient,15,11,4,2,3,0,0,0
23/01/2022,16:05,Montpellier,Monaco,17,25,3,2,2,2,0,0
23/01/2022,19:45,Paris SG,Reims,26,211,4,0,0,1,0,0
26/01/2022,18:00,Angers,St Etienne,374,38,0,1,1,1,0,0
